hpo_name,trial,run_sig,status,objective,weighted_mean_nse_1_16,mean_nse_1_16,mean_nse_13_16,nse_h16,weighted_mean_rmse_1_16,mean_rmse_1_16,mean_rmse_13_16,rmse_h16,weighted_mean_mae_1_16,mean_mae_1_16,mean_mae_13_16,mae_h16,hp.model.use_revin,hp.training.lr_scheduler.enabled,hp.model.gru_dropout,hp.model.gru_hidden,hp.model.gru_layers,hp.training.lr
gru_small_grid_v2,12,gru_small_grid_v2_t012_seed40_full_merged,ok,0.2428449037785725,0.8425256838387546,0.85580777392784,0.7745846578124786,0.7575100340265488,0.0676344698492347,0.06423346288786726,0.08374903804232073,0.0867861071262909,0.05266984766523903,0.049822621402286354,0.06633235933460715,0.06926387109797755,,,0.2,192.0,4.0,0.0004
gru_small_grid_v3,4,gru_small_grid_v3_t004_seed40_full_merged,ok,0.2428449037785725,0.8425256838387546,0.85580777392784,0.7745846578124786,0.7575100340265488,0.0676344698492347,0.06423346288786726,0.08374903804232073,0.0867861071262909,0.05266984766523903,0.049822621402286354,0.06633235933460715,0.06926387109797755,,,0.2,192.0,4.0,0.0004
gru_small_refine_v4,5,gru_small_refine_v4_t005_seed40_full_merged,ok,0.2428449037785725,0.8425256838387546,0.85580777392784,0.7745846578124786,0.7575100340265488,0.0676344698492347,0.06423346288786726,0.08374903804232073,0.0867861071262909,0.05266984766523903,0.049822621402286354,0.06633235933460715,0.06926387109797755,,,0.2,192.0,4.0,0.0004
gru_small_grid_v1,4,gru_small_grid_v1_t004_seed40_full_merged,ok,0.2280871869618116,0.8412904394384446,0.8548802320936884,0.7721563150398151,0.7543364393040601,0.06932023768274936,0.06563495934546316,0.08641354935318218,0.08981838517031716,0.054069316255295145,0.05095906897540732,0.0686413219996861,0.07155419221688143,,,0.2,192.0,3.0,0.0003
gru_small_grid_v2,3,gru_small_grid_v2_t003_seed40_full_merged,ok,0.2280871869618116,0.8412904394384446,0.8548802320936884,0.7721563150398151,0.7543364393040601,0.06932023768274936,0.06563495934546316,0.08641354935318218,0.08981838517031716,0.054069316255295145,0.05095906897540732,0.0686413219996861,0.07155419221688143,,,0.2,192.0,3.0,0.0003
gru_small_grid_v2,5,gru_small_grid_v2_t005_seed40_full_merged,ok,0.2290918360569006,0.8405670822678065,0.8535436820964102,0.7765317403842836,0.7607775115823477,0.06911477771533586,0.06554715187766601,0.08545988821556964,0.0892432373218716,0.054209371860810575,0.05119439965976781,0.06818728013472124,0.0710868670310809,,,0.2,256.0,4.0,0.0002
gru_small_grid_v3,11,gru_small_grid_v3_t011_seed40_full_merged,ok,0.2393595388019057,0.8398871776445586,0.8525092674425998,0.7784073188285413,0.7623546718494715,0.07044842992501804,0.06703078326860759,0.08621370045877375,0.08968420651249656,0.0549096314823358,0.05199179354877699,0.06841257685448701,0.07166729551373106,,,0.2,160.0,4.0,0.00035
gru_small_refine_v4,8,gru_small_refine_v4_t008_seed40_full_merged,ok,0.2393595388019057,0.8398871776445586,0.8525092674425998,0.7784073188285413,0.7623546718494715,0.07044842992501804,0.06703078326860759,0.08621370045877375,0.08968420651249656,0.0549096314823358,0.05199179354877699,0.06841257685448701,0.07166729551373106,,,0.2,160.0,4.0,0.00035
gru_small_refine_v4,7,gru_small_refine_v4_t007_seed40_full_merged,ok,0.2239427004401138,0.8391842177363614,0.8520535405688879,0.7758810117435452,0.7588477877396603,0.0702922186226019,0.06681565635020299,0.08607926852338955,0.089111695105479,0.054640497913034915,0.05175192221934661,0.06809176330442553,0.07152719105476942,,,0.2,176.0,4.0,0.0004
gru_small_refine_v4,3,gru_small_refine_v4_t003_seed40_full_merged,ok,0.2453051637191828,0.8389427189442337,0.8523928557513829,0.7693696766526534,0.7537725906488255,0.06934702253938008,0.06584114606320593,0.08558286851542728,0.08863153183325916,0.05393295133268678,0.05101243825830939,0.06757302833841992,0.07034354189257601,,,0.2,192.0,4.0,0.000375
gru_ablation_revin_scheduler,2,gru_ablation_revin_scheduler_t002_seed40_full_merged,ok,0.2111706760644249,0.8389291782275095,0.8519827754789031,0.7768068724458506,0.7618427168939582,0.07106076621325182,0.06734676611682283,0.0880137677050386,0.09141914176137032,0.05565760144179919,0.052563584647524406,0.06958892335107317,0.07180753105130547,False,True,,,,
gru_ablation_revin_scheduler,4,gru_ablation_revin_scheduler_t004_seed40_full_merged,ok,0.2111706760644249,0.8389291782275095,0.8519827754789031,0.7768068724458506,0.7618427168939582,0.07106076621325182,0.06734676611682283,0.0880137677050386,0.09141914176137032,0.05565760144179919,0.052563584647524406,0.06958892335107317,0.07180753105130547,False,False,,,,
gru_small_grid_v1,3,gru_small_grid_v1_t003_seed40_full_merged,ok,0.2216163617859508,0.8387599758748677,0.85221178702371,0.7710853185908157,0.7548770892589388,0.06931161379779112,0.06577122804876068,0.08536682648347309,0.08900434468994174,0.053968669856150835,0.051037169476866207,0.06726426453817458,0.06999069478088643,,,0.2,192.0,2.0,0.0003
gru_small_grid_v2,1,gru_small_grid_v2_t001_seed40_full_merged,ok,0.2303948749355118,0.8379544085331506,0.8510832535783965,0.7717038879682658,0.7567780195309961,0.06945497888513293,0.06602702078770392,0.08518288029935278,0.08776214086916699,0.05442325121769256,0.051554179198040076,0.06752946314873634,0.06990165215033989,,,0.2,192.0,4.0,0.0003
gru_small_grid_v3,6,gru_small_grid_v3_t006_seed40_full_merged,ok,0.2303948749355118,0.8379544085331506,0.8510832535783965,0.7717038879682658,0.7567780195309961,0.06945497888513293,0.06602702078770392,0.08518288029935278,0.08776214086916699,0.05442325121769256,0.051554179198040076,0.06752946314873634,0.06990165215033989,,,0.2,192.0,4.0,0.0003
gru_small_grid_v2,8,gru_small_grid_v2_t008_seed40_full_merged,ok,0.2610970108196803,0.8367775538273303,0.8504771078901636,0.7677510473925038,0.7504227091171912,0.07046675825489883,0.06679237269860225,0.08792988826235251,0.09096812505495218,0.05560008617133231,0.0525098577206269,0.06980879791887291,0.07267430127957167,,,0.2,256.0,2.0,0.0003
gru_small_grid_v3,1,gru_small_grid_v3_t001_seed40_full_merged,ok,0.2401268077999997,0.8365476588350788,0.850013295067068,0.7695741294785448,0.7505203974577839,0.06894667949565797,0.06554547256054766,0.08440944773801928,0.08767638747625867,0.05403942306135826,0.05119696004090436,0.06701178055304985,0.06977583319593818,,,0.2,192.0,4.0,0.00035
gru_small_refine_v4,2,gru_small_refine_v4_t002_seed40_full_merged,ok,0.2401268077999997,0.8365476588350788,0.850013295067068,0.7695741294785448,0.7505203974577839,0.06894667949565797,0.06554547256054766,0.08440944773801928,0.08767638747625867,0.05403942306135826,0.05119696004090436,0.06701178055304985,0.06977583319593818,,,0.2,192.0,4.0,0.00035
gru_small_grid_v3,7,gru_small_grid_v3_t007_seed40_full_merged,ok,0.2207296491891021,0.8358060638778295,0.8488059979277527,0.7696083647782801,0.7531852725011603,0.07155622991644027,0.06797978396255863,0.0885475931764384,0.0922651650440608,0.05599047356697732,0.05301586786905925,0.07016274423310251,0.07325320223193148,,,0.2,192.0,5.0,0.0004
